title,link,date
Marian Petre and Andre van der Hoek on Software Design,http://www.se-radio.net/2018/08/se-radio-episode-333-marian-petre-and-andre-van-der-hoek-on-software-design/,2019/06/06
Creating a language using only assembly language,https://speakerdeck.com/nineties/creating-a-language-using-only-assembly-language,2019/06/06
How to Solve It,https://en.wikipedia.org/wiki/How_to_Solve_It,2019/06/06
Software Requirements Spec (wiki),https://en.wikipedia.org/wiki/Software_requirements_specification,2019/06/06
Painless Functional Specs (Part 1 of 4),https://www.joelonsoftware.com/2000/10/02/painless-functional-specifications-part-1-why-bother/,2019/06/06
Learning Skills You Can Practice,https://jvns.ca/blog/2018/09/01/learning-skills-you-can-practice/,2019/06/06
A Practical Theory of Programming,http://www.cs.toronto.edu/~hehner/aPToP/aPToP.pdf,2019/06/06
Smooth Voxel Terrain,https://0fps.net/2012/07/10/smooth-voxel-terrain-part-1/,2019/06/06
TRPL PDFs,https://github.com/killercup/trpl-ebook/pull/52#issuecomment-401637639,2019/06/06
Generating call graphs for understanding and refactoring python code,http://blog.prashanthellina.com/generating-call-graphs-for-understanding-and-refactoring-python-code.html,2019/06/06
PyColorPalette,https://github.com/Dilan1020/PyColorPalette,2019/06/06
Functional Data Structures,https://cs.uwaterloo.ca/~plragde/flaneries/FDS/,2019/06/06
Code generation with templates,https://www.researchgate.net/publication/254811332_Code_generation_with_templates,2019/06/06
DASH: A New Language for Declarative Behavioural Requirements with Control State Hierachy,https://cs.uwaterloo.ca/~nday/pdf/refereed/2017-SeDaFa-modre.pdf,2019/06/06
"Write code that is easy to delete, not easy to extend",https://programmingisterrible.com/post/139222674273/write-code-that-is-easy-to-delete-not-easy-to,2019/06/06
How to build static checking systems using orders of magnitude less code,https://blog.acolyer.org/2016/05/31/how-to-build-static-checking-systems-using-orders-of-magnitude-less-code/,2019/06/06
Lessons from Building Static Analysis Tools at Google,https://cacm.acm.org/magazines/2018/4/226371-lessons-from-building-static-analysis-tools-at-google/fulltext,2019/06/06
